Group,Year,Month,DayOfWeek,Wounded,Killed,Weapon,Region,Country,Target,MaleAttackers,FemaleAttackers
Unknown Group,2014,9,6,0,0,Boat bomb,Asia,Iraq,Civilian,1,0
Islamic State,2014,9,3,13,9,Cart bomb,Asia,Iraq,Civilian,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2012,6,4,1,0,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2014,9,1,13,7,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2014,9,6,0,3,Car bomb,Asia,Lebanon,Security,1,0
Unknown Group,2014,10,3,115,48,Belt bomb,Asia,Syria,Civilian,1,0
Islamic State,2014,10,1,0,35,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2014,10,6,25,5,Belt bomb,Asia,Pakistan,Security,1,0
Lashkar-e Islam,2014,10,3,17,7,Belt bomb,Asia,Pakistan,Political,1,0
Tehrik-i-Taliban Pakistan,2014,10,3,17,7,Belt bomb,Asia,Pakistan,Political,1,0
Al-Qaeda in the Arabian Peninsula,2014,10,4,15,20,Car bomb,Asia,Yemen,Security,1,0
Unknown Group,2014,10,3,7,5,Car bomb,Africa,Somalia,Security,1,0
Islamic State,2014,11,6,53,20,Truck bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2014,11,1,4,8,Belt bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2014,11,7,150,61,Belt bomb,Asia,Pakistan,Security,1,0
Jundullah (Pakistan),2014,11,7,150,61,Belt bomb,Asia,Pakistan,Security,1,0
Boko Haram,2014,11,1,119,32,Belt bomb,Africa,Nigeria,Civilian,1,0
Boko Haram,2014,11,2,0,3,Belt bomb,Africa,Nigeria,Civilian,0,2
Boko Haram,2014,12,1,25,16,Belt bomb,Africa,Nigeria,Civilian,0,2
Islamic State,2014,12,3,68,46,Belt bomb,Asia,Iraq,Security,1,0
Islamic State,2014,11,6,0,50,Car bomb,Asia,Syria,Security,1,0
Boko Haram (Shekau Faction),2017,11,6,4,2,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2015,1,4,8,0,Belt bomb,Africa,Nigeria,Civilian,1,0
Boko Haram,2015,1,6,51,20,Belt bomb,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2015,1,1,5,1,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2015,1,5,16,8,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2015,1,1,3,3,Belt bomb,Asia,Saudi Arabia,Security,1,0
Boko Haram (Shekau Faction),2017,6,5,0,2,Unspecified PBIED,Africa,Cameroon,Civilian,0,1
Ansar al-Sunna,2005,1,3,5,1,Car bomb,Asia,Iraq,Security,1,0
Jama'at Al-Tawhid Wa'al-Jihad,2004,8,1,16,6,Car bomb,Asia,Iraq,Political,1,0
Tehrik-i-Taliban Pakistan,2015,2,5,71,22,Belt bomb,Asia,Pakistan,Civilian,3,0
Unknown Group,2017,11,6,2,1,Other PBIED,Africa,Nigeria,Civilian,0,1
Al-Shabaab,2015,2,5,54,28,Belt bomb,Africa,Somalia,Political,1,1
Boko Haram,2015,2,7,7,8,Belt bomb,Africa,Nigeria,Political,1,0
Taliban (IEA),2010,3,1,1,4,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,2,4,20,7,Belt bomb,Africa,Nigeria,Civilian,0,1
Boko Haram,2015,2,7,30,7,Belt bomb,Africa,Nigeria,Civilian,0,1
Al-Qaeda in the Arabian Peninsula,2015,2,4,0,0,Car bomb,Asia,Yemen,Security,1,0
Islamic State,2014,10,5,0,0,Car bomb,Asia,Syria,Civilian,1,0
Unknown Group,2012,8,2,0,6,Belt bomb,Europe,Russia,Civilian,0,1
Unknown Group,2013,12,7,34,20,Car bomb,Asia,Syria,Civilian,1,0
Islamic State of Iraq and Syria,2014,1,3,0,33,Car bomb,Asia,Syria,Security,1,0
Jamaat-ul-Ahrar,2015,3,7,70,15,Unspecified,Asia,Pakistan,Civilian,1,0
Jaish al-Fatah,2015,3,2,0,2,Car bomb,Asia,Syria,Security,1,0
Al-Shabaab,2015,3,4,0,6,Belt bomb,Africa,Somalia,Political,3,0
Islamic State West Africa Province,2015,3,6,46,16,Belt bomb,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2015,3,2,7,8,Car bomb,Asia,Afghanistan,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2015,3,7,0,0,Car bomb,Asia,Syria,Security,1,0
Islamic State - Cyrenaica Province,2015,3,2,24,12,Car bomb,Africa,Libya,Security,1,0
Unknown Group,2009,1,5,36,3,Motorcycle bomb,Asia,Sri Lanka,Security,1,0
Islamic State of Iraq and Syria,2013,7,5,32,15,Belt bomb,Asia,Iraq,Civilian,0,1
Mujahedi Masr,2005,7,6,200,30,Truck bomb,Africa,Egypt,Civilian,1,0
Abdullah Azzam Brigades,2005,7,6,200,30,Truck bomb,Africa,Egypt,Civilian,1,0
Unknown Group,2007,5,2,70,16,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2014,1,5,0,0,Car bomb,Asia,Syria,Civilian,1,0
Islamic State,2014,6,1,0,18,Truck bomb,Asia,Syria,Security,1,0
Islamic State of Iraq and Syria,2014,2,7,0,3,Car bomb,Asia,Syria,Security,1,0
Islamic State of Iraq and Syria,2014,5,3,0,0,Unspecified,Asia,Iraq,Security,1,0
Islamic State of Iraq and Syria,2014,3,3,0,2,Car bomb,Asia,Syria,Security,1,0
Islamic State,2014,8,4,12,14,Car bomb,Asia,Syria,Security,3,0
Taliban (IEA),2015,2,4,10,4,Motorcycle bomb,Asia,Afghanistan,Security,3,0
Hamas,2002,10,4,48,1,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2015,4,4,10,20,Backpack bomb,Africa,Nigeria,Civilian,0,1
Islamic State,2015,4,6,0,0,Belt bomb,Asia,Iraq,Civilian,1,0
Hamas,2004,4,3,4,0,Car bomb,Asia,Palestine,Security,1,0
Al-Mourabitoun,2015,4,3,16,3,Car bomb,Africa,Mali,Security,1,0
Boko Haram,2012,7,5,6,5,Belt bomb,Africa,Nigeria,Political,1,0
Taliban (IEA),2012,7,1,6,2,Motorcycle bomb,Asia,Afghanistan,Security,6,0
Islamic State West Africa Province,2015,5,5,6,0,Belt bomb,Africa,Nigeria,Civilian,1,0
Islamic State West Africa Province,2015,5,2,14,8,Belt bomb,Africa,Nigeria,Civilian,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2015,5,1,6,3,Motorcycle bomb,Asia,Syria,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2015,5,6,0,0,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2015,5,2,3,2,Belt bomb,Asia,Afghanistan,Political,2,0
Islamic State,2015,5,5,41,24,Mixed,Asia,Iraq,Civilian,1,0
Islamic State,2015,5,5,18,4,Car bomb,Asia,Iraq,Civilian,1,0
Islamic State - Najd Province,2015,5,5,81,21,Belt bomb,Asia,Saudi Arabia,Civilian,1,0
Islamic State,2015,5,1,12,12,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,6,3,0,0,Belt bomb,Africa,Egypt,Security,1,0
Islamic State - Najd Province,2015,6,5,227,27,Belt bomb,Asia,Kuwait,Civilian,1,0
Islamic State West Africa Province,2015,6,1,50,11,Motorcycle bomb,Africa,Chad,Security,2,0
Unknown Group,2015,6,2,24,20,Belt bomb,Africa,Nigeria,Civilian,1,0
Islamic State - Cyrenaica Province,2015,5,3,5,3,Belt bomb,Africa,Libya,Security,1,0
Unknown Group,2015,6,1,50,30,Backpack bomb,Africa,Nigeria,Civilian,0,2
Unknown Group,2013,10,5,2,0,Belt bomb,Europe,Ukraine,Security,1,0
Islamic State,2015,5,5,10,4,Car bomb,Asia,Iraq,Security,1,0
Al-Shabaab,2017,8,5,5,3,Belt bomb,Africa,Somalia,Security,1,0
Islamic State,2016,1,2,15,10,Belt bomb,Asia,Turkey,Civilian,1,0
Great Eastern Islamic Raiders Front,2003,11,6,150,12,Car bomb,Asia,Turkey,Civilian,1,0
Al-Qaeda Central,2003,11,6,150,12,Car bomb,Asia,Turkey,Civilian,1,0
Islamic State,2015,7,4,5,3,Car bomb,Asia,Iraq,Security,1,0
Islamic State West Africa Province,2015,7,3,2,0,Mixed,Africa,Nigeria,Civilian,1,1
Islamic State,2015,7,7,25,9,Belt bomb,Asia,Iraq,Civilian,1,0
Islamic State West Africa Province,2015,7,7,47,19,Belt bomb,Africa,Nigeria,Civilian,0,1
Islamic State,2015,7,1,100,32,Belt bomb,Asia,Turkey,Civilian,1,0
Unknown Group,2013,11,3,19,4,Belt bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2009,3,5,2,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,7,5,8,7,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2015,7,1,0,6,Belt bomb,Africa,Nigeria,Security,1,1
Islamic State - Najd Province,2015,7,4,2,0,Car bomb,Asia,Saudi Arabia,Security,1,0
Islamic State,2016,5,1,10,28,Belt bomb,Asia,Syria,Civilian,1,0
Ahrar al-Sham,2016,5,1,10,28,Belt bomb,Asia,Syria,Civilian,1,0
Islamic State,2015,8,3,9,13,Car bomb,Asia,Iraq,Security,1,0
Jamaat-ul-Ahrar,2015,8,7,23,20,Belt bomb,Asia,Pakistan,Political,2,0
Islamic State,2015,8,3,50,16,Truck bomb,Asia,Syria,Security,1,0
Taliban (IEA),2015,8,5,24,27,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,8,5,2,1,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2015,8,6,66,12,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State of Iraq and Syria,2014,3,7,166,37,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,8,2,30,15,Belt bomb,Africa,Nigeria,Civilian,0,1
Islamic State,2014,10,1,0,0,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2006,5,1,2,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,9,6,8,0,Car bomb,Asia,Afghanistan,Civilian,1,0
Lashkar-e Islam,2015,9,2,56,6,Belt bomb,Asia,Pakistan,Security,1,0
Tehrik-i-Taliban Pakistan,2015,9,2,56,6,Belt bomb,Asia,Pakistan,Security,1,0
Islamic State West Africa Province,2015,9,4,100,15,Unspecified,Africa,Cameroon,Security,1,0
Islamic State West Africa Province,2015,9,7,91,117,Unspecified,Africa,Nigeria,Civilian,0,1
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2015,9,5,0,0,Car bomb,Asia,Syria,Security,1,0
Islamic State,2015,9,2,30,7,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2015,9,7,2,0,Belt bomb,Asia,Pakistan,Security,1,0
Islamic State,2015,9,3,0,9,Car bomb,Asia,Syria,Security,2,0
Taliban (IEA),2015,9,3,41,4,Car bomb,Asia,Afghanistan,Political,1,0
Kurdistan Workers' Party,2015,9,6,0,0,Car bomb,Asia,Turkey,Security,1,0
Al-Qaeda in the Arabian Peninsula,2010,11,3,8,26,Car bomb,Asia,Yemen,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2009,3,3,0,0,Belt bomb,Asia,Yemen,Political,1,0
Unknown Group,2012,3,6,2,0,Car bomb,Africa,Somalia,Security,1,0
Unknown Group,2011,8,6,0,1,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State,2015,10,6,40,15,Mixed,Asia,Iraq,Security,2,0
Taliban (IEA),2015,10,1,3,0,Car bomb,Asia,Afghanistan,Political,1,0
Islamic State West Africa Province,2015,10,6,26,18,Belt bomb,Africa,Chad,Civilian,0,3
Islamic State West Africa Province,2015,10,3,24,7,Unspecified,Africa,Nigeria,Civilian,3,0
Jamaat-ul-Ahrar,2015,10,3,13,7,Unspecified,Asia,Pakistan,Political,2,0
Lashkar-e Jhangvi al-Almi,2015,10,5,40,24,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State Yemen,2015,10,2,0,15,Truck bomb,Asia,Yemen,Political,2,0
Islamic State Yemen,2015,10,2,0,15,Car bomb,Asia,Yemen,Security,1,0
Islamic State - Wilayat Hijaz,2015,10,1,26,2,Belt bomb,Asia,Saudi Arabia,Civilian,1,0
Islamic State West Africa Province,2015,10,7,29,11,Belt bomb,Africa,Cameroon,Civilian,0,2
Lashkar-e Jhangvi al-Almi,2015,10,4,21,11,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State,2015,11,7,34,24,Car bomb,Asia,Syria,Security,1,0
Islamic State,2015,11,7,5,0,Belt bomb,Asia,Turkey,Security,1,0
Unknown Group,2010,6,3,14,1,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,11,7,7,2,Belt bomb,Africa,Chad,Civilian,0,1
Islamic State West Africa Province,2016,5,4,24,7,Belt bomb,Africa,Nigeria,Political,1,0
Unknown Group,2007,2,6,1,0,Other PBIED,Asia,Pakistan,Civilian,3,0
Unknown Group,2006,9,1,12,3,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2015,9,3,7,13,Car bomb,Asia,Iraq,Security,2,0
Islamic State of Iraq and Syria,2013,10,3,23,12,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,2,2,45,18,Truck bomb,Asia,Iraq,Political,1,0
Islamic State West Africa Province,2015,11,6,12,10,Belt bomb,Africa,Cameroon,Security,1,3
Taliban (IEA),2008,11,7,5,2,Truck bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2015,11,4,0,1,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2015,11,2,16,6,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,12,2,0,6,Belt bomb,Africa,Cameroon,Civilian,0,2
Islamic State West Africa Province,2015,12,6,130,19,Unspecified PBIED,Africa,Chad,Civilian,0,4
Taliban (IEA),2015,12,1,12,0,Car bomb,Asia,Afghanistan,Security,1,0
Jamaat-ul-Ahrar,2015,12,2,50,26,Motorcycle bomb,Asia,Pakistan,Political,1,0
Islamic State,2015,12,3,20,11,Belt bomb,Asia,Iraq,Civilian,1,0
Islamic State Yemen,2015,12,7,0,9,Car bomb,Asia,Yemen,Political,1,0
Unknown Group,2015,11,3,5,2,Unspecified PBIED,Europe,France,Security,1,0
Unknown Group,2015,12,5,2,2,Belt bomb,Africa,Nigeria,Security,2,0
Taliban (IEA),2006,5,4,3,1,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State West Africa Province,2015,12,5,4,3,Motorcycle bomb,Africa,Nigeria,Civilian,1,0
Unknown Group,2016,1,2,0,5,Belt bomb,Africa,Nigeria,Civilian,1,0
Taliban (IEA),2016,1,5,18,2,Car bomb,Asia,Afghanistan,Civilian,1,0
Islamic State West Africa Province,2016,1,3,12,13,Unspecified,Africa,Cameroon,Civilian,0,2
Islamic State - Khorasan Province,2016,1,3,7,7,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2017,10,6,12,3,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,2,1,8,1,Belt bomb,Asia,Afghanistan,Security,1,0
Jundullah (Pakistan),2016,1,3,25,15,Belt bomb,Asia,Pakistan,Security,1,0
Boko Haram,2012,3,7,0,19,Car bomb,Africa,Nigeria,Civilian,1,0
Al-Qaeda in Iraq,2005,6,6,16,11,Car bomb,Asia,Iraq,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2012,5,4,372,55,Car bomb,Asia,Syria,Security,2,0
Taliban (IEA),2012,10,3,45,0,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,10,4,3,3,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,1,4,138,51,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Shabaab,2016,1,6,3,3,Belt bomb,Africa,Somalia,Civilian,1,0
Islamic State of Iraq,2007,2,1,17,2,Truck bomb,Asia,Iraq,Security,1,0
Islamic State,2016,1,7,22,15,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,2,3,7,0,Car bomb,Asia,Yemen,Security,1,0
Kurdistan Freedom Falcons,2016,2,3,61,28,Car bomb,Asia,Turkey,Security,1,0
Taliban (IEA),2016,2,1,32,20,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State - Russia Province,2016,2,1,19,2,Car bomb,Europe,Russia,Security,1,0
Unknown Group,2005,6,3,10,0,Car bomb,Asia,Iraq,Security,1,0
Islamic State West Africa Province,2016,3,3,23,25,Belt bomb,Africa,Nigeria,Civilian,0,2
Kurdistan Freedom Falcons,2016,3,7,125,37,Car bomb,Asia,Turkey,Civilian,0,1
Unknown Group,2016,3,4,4,1,Belt bomb,Africa,Nigeria,Security,1,0
Islamic State,2016,3,2,0,0,Belt bomb,Asia,Iraq,Security,1,0
Lashkar-e Jhangvi al-Almi,2014,1,1,0,2,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2016,3,4,20,24,Unspecified,Asia,Iraq,Security,0,1
Unknown Group,2013,6,1,28,4,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2013,6,1,2,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2013,11,5,7,1,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2013,10,1,0,0,Belt bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2014,1,2,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2014,10,5,0,0,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2014,7,5,3,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2013,7,2,13,27,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2013,9,7,16,3,Car bomb,Asia,Iraq,Political,1,0
Islamic State,2015,2,3,16,2,Truck bomb,Asia,Iraq,Security,3,0
Unknown Group,2014,3,3,0,6,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2014,4,2,9,2,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2013,12,7,28,12,Belt bomb,Asia,Iraq,Security,1,0
Islamic State,2014,10,7,45,20,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2013,12,1,6,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2014,6,2,2,3,Car bomb,Asia,Iraq,Security,1,0
Boko Haram (Shekau Faction),2016,8,7,20,4,Motorcycle bomb,Africa,Cameroon,Civilian,1,0
Islamic State,2014,12,2,0,0,Truck bomb,Asia,Syria,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2014,1,7,0,9,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2015,4,3,3,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2013,11,3,22,15,Belt bomb,Asia,Iraq,Civilian,1,0
Jundullah (Iran),2010,12,3,100,39,Belt bomb,Asia,Iran,Civilian,1,0
Taliban (IEA),2007,9,2,4,5,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,3,2,17,12,Belt bomb,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2015,4,4,2,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,9,7,6,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,10,1,5,2,Belt bomb,Asia,Yemen,Security,1,0
Islamic State - Sinai Province,2015,11,2,5,3,Belt bomb,Africa,Egypt,Political,1,0
Islamic State West Africa Province,2015,7,7,0,1,Belt bomb,Africa,Niger,Security,1,0
Unknown Group,2016,11,4,2,0,Unspecified,Africa,Cameroon,Civilian,0,2
Taliban (IEA),2016,4,1,38,12,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2016,4,2,327,30,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2016,4,3,25,7,Unspecified,Africa,Nigeria,Security,0,2
Jamaat-ul-Ahrar,2016,4,2,22,1,Belt bomb,Asia,Pakistan,Political,1,0
Unknown Group,2016,4,4,4,0,Car bomb,Asia,Yemen,Security,1,0
Islamic State,2016,5,7,37,17,Car bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2016,5,6,2,0,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Al-Shabaab,2016,2,2,2,0,Other PBIED,Africa,Somalia,Civilian,1,0
Unknown Group,2016,5,6,20,5,Belt bomb,Asia,Syria,Civilian,1,0
Islamic State - Cyrenaica Province,2016,5,4,0,5,Car bomb,Africa,Libya,Security,1,0
Islamic State Yemen,2016,5,7,60,41,Belt bomb,Asia,Yemen,Security,1,0
Unknown Group,2016,5,4,8,1,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Islamic State,2016,5,7,23,2,Car bomb,Asia,Turkey,Security,1,0
Unknown Group,2016,5,1,6,1,Belt bomb,Europe,Russia,Security,1,0
Islamic State,2016,3,2,85,8,Belt bomb,Europe,Belgium,Civilian,1,0
Unknown Group,2016,6,7,1,0,Unspecified,Africa,Nigeria,Civilian,1,0
Islamic State,2016,6,5,23,9,Belt bomb,Asia,Iraq,Civilian,1,0
Islamic State West Africa Province,2016,6,3,25,14,Unspecified,Africa,Cameroon,Civilian,1,0
Islamic State,2016,6,2,231,41,Belt bomb,Asia,Turkey,Civilian,3,0
Unknown Group,2016,6,6,12,0,Belt bomb,Asia,Yemen,Civilian,1,0
Islamic State - Khorasan Province,2016,6,1,17,14,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Taliban (IEA),2016,6,1,17,14,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Unknown Group,2016,6,7,24,3,Belt bomb,Asia,Syria,Civilian,1,0
Islamic State Lebanon,2016,6,1,8,0,Motorcycle bomb,Asia,Lebanon,Civilian,2,0
Islamic State,2016,3,2,24,25,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2011,8,1,9,2,Belt bomb,Asia,Iraq,Security,1,0
Islamic State,2016,2,2,20,9,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2011,2,6,26,1,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2003,9,4,3,0,Backpack bomb,Asia,Iraq,Security,1,0
Islamic State,2016,7,7,200,324,Truck bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2016,7,3,15,6,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,7,7,5,2,Motorcycle bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2015,10,7,7,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,8,7,30,15,Belt bomb,Asia,Iraq,Political,1,0
Islamic State - Khorasan Province,2016,7,6,18,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Islamic State West Africa Province,2016,7,5,0,0,Unspecified,Africa,Nigeria,Civilian,1,0
Islamic State - Wilayat Hijaz,2016,7,1,2,0,Belt bomb,Asia,Saudi Arabia,Political,1,0
Al-Qaeda in the Arabian Peninsula,2016,7,1,9,6,Truck bomb,Asia,Yemen,Security,1,0
Islamic State,2016,7,7,15,0,Backpack bomb,Europe,Germany,Civilian,1,0
Taliban (IEA),2016,7,6,231,83,Belt bomb,Asia,Afghanistan,Political,2,0
Islamic State - Khorasan Province,2016,7,6,231,83,Belt bomb,Asia,Afghanistan,Political,2,0
Khalid ibn al-Walid Army,2016,7,7,0,8,Belt bomb,Asia,Syria,Security,1,0
Islamic State,2016,8,7,4,0,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2012,8,7,6,1,Belt bomb,Asia,Yemen,Security,1,0
Islamic State,2016,8,6,70,57,Belt bomb,Asia,Turkey,Civilian,1,0
Jamaat-ul-Ahrar,2016,9,5,53,15,Belt bomb,Asia,Pakistan,Political,1,0
Islamic State,2016,9,2,30,9,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2009,12,2,24,3,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State,2016,10,1,17,10,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2016,10,1,25,7,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2016,10,5,4,1,Belt bomb,Asia,Pakistan,Security,1,0
Kurdistan Workers' Party,2016,10,6,0,0,Car bomb,Asia,Turkey,Security,1,1
Islamic State,2016,10,1,90,36,Belt bomb,Asia,Syria,Security,1,0
Unknown Group,2016,10,6,4,2,Belt bomb,Asia,Yemen,Civilian,1,0
Unknown Group,2016,10,1,5,0,Belt bomb,Africa,Cameroon,Civilian,0,1
Unknown Group,2016,8,2,14,1,Belt bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2016,10,1,0,0,Belt bomb,Asia,Georgia,Civilian,1,0
Al-Shabaab,2016,7,2,0,7,Car bomb,Africa,Somalia,Political,1,0
Islamic State - Wilayat Jaza¡¯ir,2019,7,2,0,0,Belt bomb,Africa,Tunisia,Security,1,0
Unknown Group,2013,5,3,4,1,Belt bomb,Asia,Pakistan,Security,1,0
Islamic State - Khorasan Province,2016,11,6,105,52,Belt bomb,Asia,Pakistan,Civilian,1,0
Mujahidin Indonesia Timur,2013,6,1,1,0,Motorcycle bomb,Asia,Indonesia,Security,1,0
Boko Haram (Shekau Faction),2016,11,7,0,21,Unspecified,Africa,Nigeria,Civilian,1,0
Al-Shabaab,2016,11,6,5,2,Car bomb,Africa,Somalia,Security,1,0
Islamic State,2016,11,2,0,36,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,12,5,7,3,Belt bomb,Asia,Syria,Security,0,1
Unknown Group,2016,12,5,2,0,Unspecified PBIED,Asia,Pakistan,Security,1,0
Jundullah (Pakistan),2016,12,6,1,0,Other PBIED,Asia,Bangladesh,Security,1,1
Boko Haram (Shekau Faction),2016,12,5,57,56,Belt bomb,Africa,Nigeria,Civilian,0,2
Boko Haram (Shekau Faction),2016,12,7,17,9,Truck bomb,Africa,Nigeria,Civilian,0,1
Islamic State - Sinai Province,2016,12,7,49,27,Belt bomb,Africa,Egypt,Civilian,1,0
Islamic State,2016,12,6,0,2,Belt bomb,Asia,Syria,Security,2,0
Army for the Liberation of Kurdistan,2016,12,6,27,14,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2016,12,4,3,0,Car bomb,Africa,Somalia,Security,1,0
Al-Shabaab,2016,12,7,50,29,Car bomb,Africa,Somalia,Security,1,0
Boko Haram (Shekau Faction),2017,1,7,1,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2016,10,2,15,8,Belt bomb,Africa,Nigeria,Civilian,0,1
Boko Haram (Shekau Faction),2017,1,1,0,1,Belt bomb,Africa,Nigeria,Security,1,0
Unknown Group,2009,2,7,2,2,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2011,5,6,45,4,Car bomb,Asia,Afghanistan,Political,6,0
Boko Haram (Shekau Faction),2017,1,2,17,6,Belt bomb,Africa,Nigeria,Civilian,0,3
Unknown Group,2015,5,6,28,26,Belt bomb,Africa,Nigeria,Civilian,1,0
Taliban (IEA),2017,1,1,0,3,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,1,2,0,0,Belt bomb,Asia,Afghanistan,Civilian,1,0
Islamic State - Khorasan Province,2017,2,2,41,21,Belt bomb,Asia,Afghanistan,Political,1,0
Boko Haram (Shekau Faction),2017,2,3,2,1,Belt bomb,Africa,Cameroon,Civilian,2,0
Boko Haram (Shekau Faction),2017,1,2,0,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2006,8,7,15,7,Motorcycle bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2017,1,2,10,1,Unspecified,Africa,Cameroon,Civilian,0,1
Free Syrian Army,2017,2,7,0,0,Car bomb,Asia,Syria,Security,1,0
